boughtDate,price,count
2015-10-05,828900,6
2015-10-06,1344600,4
2015-10-07,35000,1
2015-10-08,97600,1
2015-10-09,379000,2
2015-10-10,390400,4
2015-10-11,262700,3
2015-10-12,991200,4
2015-10-14,97600,1
2015-10-16,2199000,1
2015-10-17,312200,3
2015-10-18,97600,1
2015-10-19,340000,1
2015-10-20,1056600,2
2015-10-22,165100,2
2015-10-23,41500,1
2015-10-26,1203100,5
2015-10-28,105000,1
2015-10-29,41500,1
2015-10-30,9116600,3
2015-11-01,437600,2
2015-11-02,1176900,7
2015-11-03,221000,2
2015-11-05,1562900,7
2015-11-06,230000,2
2015-11-07,180600,3
2015-11-08,105000,1
2015-11-09,1184200,5
2015-11-11,4995000,12
2015-11-13,139100,2
2015-11-15,35800,1
2015-11-16,402700,2
2015-11-17,136450,2
2015-11-18,266600,2
2015-11-20,326600,2
2015-11-21,1149500,2
2015-11-22,310200,4
2015-11-23,344000,3
2015-11-24,95200,1
2015-11-25,1151500,2
2015-11-26,317200,4
2015-11-27,1150000,1
2015-11-28,168600,2
2015-11-29,12582600,9
2015-11-30,636700,8
2015-12-01,1696300,4
2015-12-02,1672550,4
2015-12-03,106800,2
2015-12-04,1324400,5
2015-12-05,1150000,1
2015-12-06,97600,1
2015-12-07,3147099,5
2015-12-08,722000,1
2015-12-09,44000,1
2015-12-10,2364600,5
2015-12-11,4116000,8
2015-12-12,5154500,10
2015-12-13,2393000,3
2015-12-14,1680000,4
2015-12-17,80000,2
2015-12-20,1977700,3
2015-12-21,1161000,3
2015-12-23,35000,1
2015-12-24,110000,2
2015-12-25,71000,1
2015-12-26,421300,5
2015-12-27,1136900,7
2015-12-28,199000,1
2015-12-29,1290200,3
2015-12-30,414700,6
2015-12-31,140000,1
2016-01-04,1150000,1
2016-01-05,1088500,1
2016-01-06,348400,4
2016-01-07,227900,2
2016-01-08,2330100,6
2016-01-09,218589,4
2016-01-10,1150000,1
2016-01-11,762600,2
2016-01-12,2300000,2
2016-01-13,1550000,2
2016-01-14,2038600,4
2016-01-16,107000,1
2016-01-17,275600,3
2016-01-18,2378000,4
2016-01-19,56600,1
2016-01-20,1095000,1
2016-01-21,1095000,1
2016-01-22,933000,2
2016-01-23,2057000,2
2016-01-24,227600,3
2016-01-25,1058300,2
2016-01-26,2080320,3
2016-01-27,1837500,4
2016-01-28,1755000,8
2016-01-29,1391600,4
2016-01-30,520000,3
2016-01-31,141600,2
2016-02-01,350000,2
2016-02-02,1542600,3
2016-02-03,1282320,5
2016-02-05,1276500,3
2016-02-07,1204600,2
2016-02-08,458000,2
2016-02-09,773000,1
2016-02-10,331000,5
2016-02-11,82320,1
2016-02-12,1549000,3
2016-02-13,223000,3
2016-02-14,825000,1
2016-02-15,198800,4
2016-02-16,14900,1
2016-02-18,1203000,3
2016-02-19,200000,1
2016-02-20,1150000,1
2016-02-21,240000,1
2016-02-22,365000,4
2016-02-23,229000,1
2016-02-24,135000,3
2016-02-25,953000,5
2016-02-28,1217000,3
2016-02-29,3196000,4
2016-03-01,2576500,3
2016-03-02,2671500,4
2016-03-03,1361000,5
2016-03-04,94000,2
2016-03-05,45000,1
2016-03-06,132000,2
2016-03-07,3356500,3
2016-03-10,47000,1
2016-03-11,221800,3
2016-03-12,1088500,1
2016-03-14,260000,4
2016-03-15,434800,8
2016-03-16,5847000,7
2016-03-17,1237500,3
2016-03-18,1119000,6
2016-03-19,206000,4
2016-03-21,443500,6
2016-03-22,162500,3
2016-03-23,1137000,6
2016-03-24,417900,6
2016-03-25,4374400,7
2016-03-26,206000,3
2016-03-27,1156000,2
2016-03-28,256800,6
2016-03-29,226500,4
2016-03-30,2342000,3
2016-03-31,1732500,8
2016-04-01,3209300,11
2016-04-02,822000,2
2016-04-03,370000,5
2016-04-04,490100,8
2016-04-05,2136000,6
2016-04-06,2654000,7
2016-04-07,893000,3
2016-04-08,1502000,7
2016-04-09,581000,7
2016-04-10,1384000,4
2016-04-11,580300,7
2016-04-12,1713500,5
2016-04-13,2172500,7
2016-04-14,493000,10
2016-04-15,322900,3
2016-04-16,47000,1
2016-04-17,1116500,5
2016-04-18,1429900,6
2016-04-19,228500,3
2016-04-20,463000,8
2016-04-21,1726600,9
2016-04-22,4251700,9
2016-04-23,483000,10
2016-04-24,466800,8
2016-04-25,1253900,9
2016-04-26,3151900,4
2016-04-27,432400,5
2016-04-28,248000,5
2016-04-29,942600,4
2016-04-30,1396500,5
2016-05-01,60000,1
2016-05-02,699700,8
2016-05-03,354450,6
2016-05-04,348500,5
2016-05-05,123900,2
2016-05-06,222900,3
2016-05-07,350000,4
2016-05-08,1889600,4
2016-05-09,1264600,5
2016-05-10,1440000,8
2016-05-11,2004400,13
2016-05-12,2364400,7
2016-05-13,559700,7
2016-05-14,2849450,10
2016-05-15,209950,4
2016-05-16,1243600,4
2016-05-17,125550,2
2016-05-18,7414950,11
2016-05-19,1550400,6
2016-05-20,208950,2
2016-05-21,468000,6
2016-05-22,3595000,1
2016-05-23,1197000,2
2016-05-24,3720450,8
2016-05-25,2191400,19
2016-05-26,874750,4
2016-05-27,2156000,5
2016-05-28,1389500,4
2016-05-29,3555050,12
2016-05-30,2062050,11
2016-05-31,722400,8
2016-06-01,2652950,8
2016-06-02,297500,3
2016-06-03,106000,2
2016-06-04,773000,1
2016-06-05,1279500,4
2016-06-06,366300,2
2016-06-07,1009850,7
2016-06-08,1532000,3
2016-06-09,319450,3
2016-06-10,5890900,9
2016-06-11,1942500,3
2016-06-12,351500,4
2016-06-13,1807000,4
2016-06-14,1571700,5
2016-06-15,224000,3
2016-06-16,550800,9
2016-06-17,900450,9
2016-06-18,3102200,6
2016-06-19,215900,4
2016-06-20,5919700,16
2016-06-21,1154950,6
2016-06-22,2833600,19
2016-06-23,4084450,22
2016-06-24,2875650,21
2016-06-25,441800,7
2016-06-26,832100,9
2016-06-27,456500,6
2016-06-28,1714700,10
2016-06-29,9353900,11
2016-06-30,2657420,10
2016-07-01,2351600,5
2016-07-02,375900,6
2016-07-03,537000,4
2016-07-04,1303500,4
2016-07-05,412000,2
2016-07-06,2036920,3
2016-07-07,2166500,3
2016-07-08,92000,2
2016-07-09,315800,4
2016-07-10,2660400,7
2016-07-11,1602400,7
2016-07-12,1937300,10
2016-07-13,2962600,15
2016-07-14,7244501,16
2016-07-15,937400,10
2016-07-16,1989450,11
2016-07-17,6866550,9
2016-07-18,2911000,11
2016-07-19,2939000,9
2016-07-20,6335200,14
2016-07-21,6093000,9
2016-07-22,1238350,9
2016-07-23,16433500,5
2016-07-24,2317000,5
2016-07-25,595500,8
2016-07-26,4778000,7
2016-07-27,6964700,10
2016-07-28,7075520,10
2016-07-29,6266700,9
2016-07-30,778500,11
2016-07-31,1647500,9
2016-08-01,3338500,12
2016-08-02,1087600,6
2016-08-03,2662350,7
2016-08-04,144500,2
2016-08-05,1849350,9
2016-08-06,841800,11
2016-08-07,489700,6
2016-08-08,551100,8
2016-08-09,5157600,16
2016-08-10,6222960,9
2016-08-11,392300,4
2016-08-12,1107450,12
2016-08-13,2347650,9
2016-08-14,1546400,7
2016-08-15,805000,8
2016-08-16,2757900,10
2016-08-17,783220,10
2016-08-18,5385400,8
2016-08-19,3783700,9
2016-08-20,534000,6
2016-08-21,1484000,6
2016-08-22,1678300,12
2016-08-23,781000,10
2016-08-24,2488350,15
2016-08-25,8740130,20
2016-08-26,1142550,13
2016-08-27,1539500,12
2016-08-28,1222200,14
2016-08-29,603050,11
2016-08-30,447100,8
2016-08-31,2444000,16
2016-09-01,1037500,15
2016-09-02,1257500,15
2016-09-03,1665900,11
2016-09-04,332600,5
2016-09-05,814900,13
2016-09-06,1999950,17
2016-09-07,18601550,15
2016-09-08,1514300,12
2016-09-09,1005250,13
2016-09-10,361950,6
2016-09-11,906600,11
2016-09-12,502650,8
2016-09-13,1841900,16
2016-09-14,1680100,13
2016-09-15,2050500,16
2016-09-16,1736900,10
2016-09-17,1744600,7
2016-09-18,6513700,11
2016-09-19,1045720,10
2016-09-20,1148923,15
2016-09-21,1865300,11
2016-09-22,1367599,8
2016-09-23,848800,12
2016-09-24,446900,7
2016-09-25,870488,11
2016-09-26,11079901,13
2016-09-27,4521500,15
2016-09-28,2977054,26
2016-09-29,1439500,19
2016-09-30,1894300,19
2016-10-01,1797200,17
2016-10-02,625200,11
2016-10-03,5740700,19
2016-10-04,2754900,22
2016-10-05,1613700,16
2016-10-06,2249600,13
2016-10-07,5976600,17
2016-10-08,1219700,14
2016-10-09,835500,13
2016-10-10,6420000,23
2016-10-11,2403600,26
2016-10-12,5175920,23
2016-10-13,2058608,23
2016-10-14,953850,13
2016-10-15,1075500,7
2016-10-16,4014550,17
2016-10-17,5064610,11
2016-10-18,1453350,11
2016-10-19,1030350,13
2016-10-20,1318100,11
2016-10-21,3203400,14
2016-10-22,2523120,11
2016-10-23,1531350,10
2016-10-24,7216100,11
2016-10-25,3965300,16
2016-10-26,4510588,20
2016-10-27,2411200,13
2016-10-28,2447800,17
2016-10-29,14362050,12
2016-10-30,2351850,18
2016-10-31,2828800,17
2016-11-01,3586800,21
2016-11-02,4062000,31
2016-11-03,1070100,13
2016-11-04,5808200,22
2016-11-05,3774250,11
2016-11-06,2020350,12
2016-11-07,5444100,14
